news_id,title,publish_date,source_name,source_section,source_url,source_credibility,region,country,sector,digest_section,topic_tags,summary,business_implication,recommended_audience,importance_score,relevance_score,actionability_score,credibility_score,total_score,human_status,reviewer,review_notes
20260604-001,港PMI升至50.4 營商回復景氣,2026-06-04,文匯報 電子報,A0,https://paper.wenweipo.com/epaper/viewer?issue=20260604&page=A3,A,全港,香港,金融與經濟,金融與經濟,"PMI;50.4;營商;中東資金;新訂單","5月香港PMI由48.6升至50.4，三個月來首度重返擴張區；新訂單回升，業界指中東資金流入帶動，成本壓力仍存。","宏觀景氣拐點，影響企業投資及商廈需求判斷。","領導",5,4,4,4,92,定稿,,"截圖A3；等同A0要聞類"
20260604-002,不吃不喝14.1年才能置業 港樓價連續16年全球最難負擔,2026-06-04,明報 電子報,A0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B3,A,全港,香港,建築與地產,建築與地產,"Demographia;14.1倍;置業負擔;16年","Demographia報告指香港樓價收入比率14.1倍，連續16年全球最難負擔，悉尼追近14倍。","置業門檻仍高，關聯租金及宿舍/改建投資。","領導;項目",5,5,4,5,98,定稿,,"截圖B3經商版"
20260604-003,專才租轉買跑贏回流客 內地買家二手佔比23.1%,2026-06-04,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_A0/index.html#p=10,A,全港,香港,金融與經濟,金融與經濟,"專才;內地買家;23.1%;二手;人才政策","評論指專才租轉買活躍度高於回流客；首4個月二手內地買家佔比23.1%，逾5000萬元物業佔65%。","需求結構支撐樓市，影響高端住宅及投資布局。","領導;項目",4,5,4,5,94,定稿,,"截圖A10"
20260604-004,南方東英夥匯豐OSL 推貨幣市場基金代幣化,2026-06-04,明報 電子報,A0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B3,A,全港,香港,金融與經濟,金融與經濟,"代幣化;MMF;匯豐;OSL;南方東英","6月3日三方簽約，為專業投資者推出代幣化貨幣市場基金。","傳統金融與虛擬資產銜接，影響機構資金工具。","領導",4,4,3,5,86,定稿,,"產品細節需查證"
20260604-005,5月新盤貨尾17132伙 逾3年半次低,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=1,A,全港,香港,建築與地產,建築與地產,"貨尾;17132;一手;中原","5月一手未售約17132伙，按月跌1.9%，逾3年半次低；分區貨尾均回落。","供應壓力緩和，影響下半年推盤節奏判斷。","領導;項目",4,4,4,5,90,定稿,,"截圖D1"
20260604-006,銀主盤384個逆市增4.3% 形品兩年即遭接管,2026-06-04,信報 電子報,D0,https://paper.hkej.com/epaper/viewer?issue=20260604&page=A9,A,全港,香港,建築與地產,建築與地產,"銀主盤;384;形品;風險","5月25日銀主盤384個，連升兩月；形品等購入不足兩年即被接管。","高槓桿風險與市場回暖並存，影響信貸及收購策略。","領導;項目",5,5,4,5,96,定稿,,"截圖信報A9"
20260604-007,中資嘉實基金租太古廣場1.2萬呎 呎租約90元,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=3,A,金鐘,香港,建築與地產,建築與地產,"商廈;太古廣場;嘉實基金;呎租90","嘉實基金租太古廣場二期約1.2萬呎，呎租約90元；太古廣場出租率約96%。","核心商廈需求及中資金融機構佈局參考。","領導;拓展",4,4,4,5,88,定稿,,"截圖D3"
20260604-008,阮蘇少湄5100萬沽寶園 27年賺約3590萬,2026-06-04,明報/HKET,D0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B2,A,中半山,香港,建築與地產,建築與地產,"豪宅;寶園;5100萬;名人","阮蘇少湄售寶園約5100萬，較1999年購入價賺約3590萬；買家傳孫秉樞家族。","高端住宅價格標杆及名人盤交投活躍。","領導;市場",4,4,3,4,84,定稿,,"買家需查證"
20260604-009,三部門考察北部都會區 推動產業與人才落戶,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=3,A,北都,香港,北都產業規劃,北都專題,"北都;洪水橋;新田;人才;產業","籌備辦、人才辦及教育局約50人考察洪水橋、河上鄉、新田。","北都政策落地與產城人才協同信號。","領導;項目",5,5,4,5,98,定稿,,"截圖D3快訊"
20260604-010,陳茂波：三大趨勢撐信託業黃金機遇,2026-06-04,文匯報 電子報,A0,https://paper.wenweipo.com/epaper/viewer?issue=20260604&page=A3,A,全港,香港,金融與經濟,金融與經濟,"陳茂波;信託;財富管理;家族辦公室;25萬億","陳茂波出席信託人公會10周年慶典，指聯通內地、數碼轉型及高淨值需求三大趨勢帶來機遇。","宏觀金融政策與資產管理中心定位，非地產企業新聞。","領導",5,4,4,4,90,定稿,,"截圖文匯報A3；資產口徑需查證"
20260604-011,五年規劃抉擇：北都成粵港融合核心引擎,2026-06-04,大公報 電子報,A0,https://paper.takungpao.com/epaper/viewer?issue=20260604&page=A13,A,北都,香港,北都產業規劃,北都專題,"五年規劃;北都;河套;前海;新田科技城;算力金融","溫天納評論指北都為粵港融合核心增長極，串聯前海河套等節點及算力金融。","北都戰略層面論述，非單一發展商項目。","領導;項目",5,5,4,4,94,定稿,,"截圖大公報A13"
20260604-012,香檳大廈擴地積比被拒 可覆核或修訂方案,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=1,A,尖沙咀,香港,建築與地產,建築與地產,"香檳大廈;城規會;地積比;酒店重建;恒地","城規會拒絕香檳大廈B座酒店重建加地積比，業主可覆核或修訂方案。","核心區改建審批趨嚴，影響酒店/舊樓重建回報。","領導;項目",4,4,4,5,90,定稿,,"候選池最高分90；截圖D1"
20260604-013,上源洋房月租25萬 創屯門租金紀錄,2026-06-04,信報 電子報,D0,https://paper.hkej.com/epaper/viewer?issue=20260604&page=A9,A,屯門,香港,建築與地產,建築與地產,"上源;月租25萬;屯門;豪宅租金;51元","上源花園洋房月租約25萬，呎租約51元，創屯門紀錄；傳內地商人承租。","新界西北高端租金標杆，關聯租賃及人才需求。","領導;拓展",4,4,3,5,88,定稿,,"候選池次高分88；截圖信報A9"
20260604-C01,短炒頻現 東邊街九號10個月賺132萬,2026-06-04,HKET 電子報,A0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_A0/index.html#p=4,A,全港,香港,建築與地產,,短炒;二手;東邊街九號,"多區短炒個案表，東邊街九號10個月帳面賺132萬等。","二手投機活躍度參考。","項目",3,3,3,5,76,候選,,未納入定稿
20260604-C02,金澤培當選總商會主席,2026-06-04,文匯報 電子報,A0,https://paper.wenweipo.com/epaper/viewer?issue=20260604&page=A3,A,全港,香港,金融與經濟,,總商會;金澤培;競爭力,"港鐵行政總裁金澤培當選總商會主席，承諾提升港競爭力。","工商政策及大灣區線索。","領導",3,3,3,4,76,候選,,未納入定稿
20260604-C05,港PMI重返擴張（大公報）,2026-06-04,大公報 電子報,A0,https://paper.takungpao.com/epaper/viewer?issue=20260604&page=A16,A,全港,香港,金融與經濟,,PMI;50.4;擴張,"與文匯報同題，5月PMI 50.4及圖表。","交叉核對用。","領導",4,3,2,4,78,候選,,與001重複
20260604-C06,彭博：帕西擬港上市估值百億,2026-06-04,明報 電子報,A0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B3,B,全港,香港,金融與經濟,,IPO;機械人;帕西,"彭博指送餐機械人企業帕西擬在港IPO。","新股及創科融資線索。","領導",3,3,3,3,72,候選,,未納入定稿
20260604-C07,海德園加推79伙819萬起,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=1,A,啟德,香港,建築與地產,,海德園;恒地;一手,"恒地啟德海德園加推79伙，折實819萬起。","一手供應及定價參考。","項目",4,4,3,5,86,候選,,未納入定稿
20260604-C10,俊和東涌269伙規劃署不反對,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=3,A,東涌,香港,建築與地產,,東涌;俊和;MiC;269伙,"東涌項目增至269伙，規劃署不反對，採MiC。","供應增加，非北都主線。","項目",4,4,3,5,88,候選,,未納入定稿
20260604-C11,新港中心5842萬沽蝕四成,2026-06-04,明報 電子報,D0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B2,A,尖沙咀,香港,建築與地產,,商廈;新港中心;蝕售,"尖沙咀新港中心高層3伙5842萬成交，7年蝕約四成。","商廈估值壓力。","市場",4,4,3,5,88,候選,,未納入定稿
20260604-C12,觀塘四洲集團中心全層呎租15元,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=4,A,觀塘,香港,建築與地產,,商廈;觀塘;呎租15,"四洲集團中心6樓全層15564呎叫租15元。","工商舖租賃參考。","拓展",3,4,3,5,82,候選,,截圖D4
20260604-C13,樓市轉旺造就短線獲利（專家樓評）,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=1,B,全港,香港,建築與地產,,短罰息按揭;樓花期,"評論指超短樓花期及6個月短罰息按揭助短炒。","按揭產品與投資策略。","項目",3,3,3,4,72,候選,,評論稿
20260604-C14,滙豐看好中國經濟料增長5%,2026-06-04,文匯報 電子報,A0,https://paper.wenweipo.com/epaper/viewer?issue=20260604&page=A3,A,全港,香港,金融與經濟,,滙豐;GDP;5%,"滙豐維持中國2026年GDP增長5%預測。","內地宏觀與香港聯動。","領導",3,3,3,4,76,候選,,未納入定稿（與010同版）
20260604-C15,地監局：無牌代理轉交警方,2026-06-04,明報 電子報,D0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B2,A,全港,香港,金融與經濟,,地監局;無牌代理,"地監局發現無牌代理，已轉交警方。","行業監管風險。","市場",3,3,3,5,78,候選,,未納入定稿
20260604-C16,K11 ELYSEA預租率近七成,2026-06-04,明報 電子報,D0,https://paper.mingpao.com/epaper/viewer?issue=20260604&page=B2,A,尖沙咀,香港,新世界財政,,K11;ELYSEA;新世界,"新世界港K11 ELYSEA預租率近70%，呎租100-140元。","新世界商業及服務式住宅。","項目",4,4,3,5,88,候選,,未納入定稿
20260604-C17,亞太商廈裝修成本升（JLL）,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=5,B,全港,香港,建築與地產,,JLL;裝修成本;商廈,"JLL指亞太56%市場裝修成本上升。","商廈改造成本壓力。","項目",3,4,3,4,78,候選,,截圖D5
20260604-C18,大浪灣村銀主村屋2285元呎,2026-06-04,HKET 電子報,D0,https://paper.hket.com/web-flip/HKET/20260604/HKET_20260604_D0/index.html#p=3,A,大嶼山,香港,建築與地產,,銀主盤;村屋;許智明,"大浪灣村全幢銀主盤480萬售出，較2017-18購入價蝕約39%。","村屋及銀主盤風險個案。","市場",3,3,2,5,76,候選,,與006部分重疊
